Order ID,Order Timestamp,Customer ID,Order Status,Store ID
1,2/3/2023 1:34,13147,Complete,161
2,3/31/2023 13:36,2387,Complete,494
3,3/10/2023 0:39,16164,Complete,254
4,11/3/2023 22:15,17951,Complete,251
5,3/31/2023 1:46,9362,Canceled,173
6,11/9/2023 22:10,1434,Canceled,231
7,5/10/2023 21:09,10452,Refunded,118
8,6/8/2023 10:08,195,Canceled,280
9,1/19/2023 21:17,7651,Refunded,146
10,12/16/2022 5:29,3110,Shipped,263
11,3/1/2023 19:33,509,Complete,77
12,12/21/2022 12:21,15662,Shipped,402
13,12/7/2022 16:28,6985,Canceled,267
14,5/1/2023 10:36,11244,Shipped,13
15,3/28/2023 6:22,4444,Complete,129
16,3/23/2023 3:45,13806,Shipped,354
17,10/24/2023 4:07,7493,On Hold,45
18,11/7/2023 16:10,7662,Complete,275
19,7/24/2023 1:44,5319,Canceled,20
20,9/1/2023 9:21,7537,Shipped,110
21,1/2/2023 15:13,5103,Canceled,53
22,2/28/2023 15:47,5230,Complete,137
23,2/20/2023 16:10,19836,Complete,112
24,8/24/2023 18:50,18629,Complete,147
25,5/1/2023 0:48,17183,Shipped,322
26,2/17/2023 18:16,16390,Canceled,32
27,8/18/2023 20:08,11596,Shipped,89
28,6/12/2023 4:24,12114,Complete,368
29,10/22/2023 21:15,13738,Refunded,79
30,3/28/2023 17:21,16854,Refunded,457
31,12/11/2022 2:10,11234,Complete,154
32,5/29/2023 7:37,3644,Complete,358
33,7/26/2023 7:22,1173,Shipped,189
34,1/2/2023 4:29,8366,Complete,46
35,5/14/2023 18:33,14015,Refunded,48
36,11/16/2022 22:22,13703,Complete,178
37,10/10/2023 9:12,6248,Shipped,310
38,3/20/2023 20:40,6816,Canceled,18
39,2/9/2023 2:05,5934,Refunded,222
40,8/17/2023 8:12,18943,Canceled,228
41,8/29/2023 5:46,1890,On Hold,101
42,1/11/2023 6:23,4127,Shipped,238
43,1/29/2023 22:28,696,Refunded,372
44,3/26/2023 1:46,18308,Complete,373
45,3/21/2023 5:50,1174,Complete,199
46,12/10/2022 10:04,17759,Complete,319
47,7/27/2023 4:08,7713,Refunded,210
48,3/13/2023 19:19,3995,Complete,35
49,12/17/2022 3:45,14351,Complete,299
50,6/8/2023 8:52,18009,Refunded,118
